mes_sol;año_sol;desc_cnae;empresa_municipio;localidades_centro_trab;desc_sector;total_trab_sus;trab_hombres_sus;trab_mujeres_sus
11;2024;Mantenimiento y reparación de vehículos de motor;Ribarroja del Turia;Riba-Roja De Túria;SERVICIOS;2;1;1
11;2024;Otras actividades recreativas y de entretenimiento;Aldaya;Aldaya;SERVICIOS;2;1;1
11;2024;Mantenimiento y reparación de vehículos de motor;Massanassa;Massanassa;SERVICIOS;3;3;0
11;2024;Otras actividades recreativas y de entretenimiento;Alfafar;Alfafar;SERVICIOS;17;7;10
11;2024;Mantenimiento y reparación de vehículos de motor;Paiporta;Paiporta;SERVICIOS;7;7;0
11;2024;Establecimientos de bebidas;Benetússer;Benetússer;SERVICIOS;4;0;4
11;2024;Venta de automóviles y vehículos de motor ligeros;Sedaví;Sedaví;SERVICIOS;2;0;2
11;2024;Restaurantes y puestos de comidas;Valencia;Valencia;SERVICIOS;2;1;1
11;2024;Restaurantes y puestos de comidas;Aldaya;Aldaya;SERVICIOS;5;0;5
11;2024;Establecimientos de bebidas;Picanya;Picanya;SERVICIOS;2;1;1
11;2024;Organización de convenciones y ferias de muestras;Sevilla;Valencia;SERVICIOS;2;1;1
11;2024;Fabricación de estructuras metálicas y sus componentes;Picanya;Picanya;INDUSTRIA;1;1;0
11;2024;Actividades de servicios sociales sin alojamiento para personas con discapacidad;Valencia;Valencia;SERVICIOS;79;48;31
11;2024;Restaurantes y puestos de comidas;Sedaví;Sedaví;SERVICIOS;1;0;1
11;2024;Comercio al por menor de prendas de vestir en establecimientos especializados;Murcia;Alfafar;SERVICIOS;5;0;5
11;2024;Comercio al por menor de repuestos y accesorios de vehículos de motor;Aldaya;Aldaya;SERVICIOS;2;2;0
11;2024;Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco;Albal;Albal;SERVICIOS;1;1;0
11;2024;Peluquería y otros tratamientos de belleza;Valencia;Valencia;SERVICIOS;1;1;0
11;2024;Comercio al por menor de productos cosméticos e higiénicos en establecimientos especializados;Massanassa;Massanassa;SERVICIOS;1;0;1
11;2024;Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco;Valencia;Valencia;SERVICIOS;1;1;0
11;2024;Comercio al por menor de productos de tabaco en establecimientos especializados;Massanassa;Massanassa;SERVICIOS;1;1;0
11;2024;Establecimientos de bebidas;Ribarroja del Turia;Riba-Roja De Túria;SERVICIOS;2;0;2
11;2024;Establecimientos de bebidas;Albal;Albal;SERVICIOS;3;1;2
11;2024;Establecimientos de bebidas;Sedaví;Sedaví;SERVICIOS;1;1;0
11;2024;Otras actividades recreativas y de entretenimiento;Paiporta;Paiporta;SERVICIOS;3;0;3
11;2024;Comercio al por menor de productos de tabaco en establecimientos especializados;Algemesí;Algemesí;SERVICIOS;2;1;1
11;2024;Otras actividades de construcción especializada n.c.o.p.;Silla;Silla;CONSTRUCIÓN;1;1;0
11;2024;Comercio al por menor de productos de tabaco en establecimientos especializados;Catarroja;Catarroja;SERVICIOS;2;0;2
11;2024;Mantenimiento y reparación de vehículos de motor;Aldaya;Aldaya;SERVICIOS;8;7;1
11;2024;Establecimientos de bebidas;Turís;Aldaya;SERVICIOS;1;0;1
11;2024;Construcción de edificios residenciales;Valencia;Alfafar;CONSTRUCIÓN;1;1;0
11;2024;Otros servicios de comidas;Valencia;Aldaya;SERVICIOS;3;2;1
11;2024;Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados;Barcelona;Valencia;SERVICIOS;6;0;6
11;2024;Comercio al por menor de productos de tabaco en establecimientos especializados;Catarroja;Catarroja;SERVICIOS;2;0;2
